(1,96),
(1,95),
(2,94),
(3,94),
(4,93),
(6,92),
(8,91),
(9,90),
(11,90),
(12,89),
(14,88),
(16,88),
(17,87),
(18,87),
(19,86),
(20,86),
(21,85),
(22,84),
(23,84),
(25,83),
(26,83),
(27,82),
(28,81),
(30,81),
(31,80),
(32,79),
(33,79),
(34,78),
(35,77),
(36,76),
(37,75),
(38,74),
(39,74),
(39,73),
(40,73),
(40,72),
(41,72),
(42,71),
(42,70),
(43,70),
(43,69),
(44,69),
(44,68),
(45,68),
(45,67),
(45,66),
(46,66),
(46,65),
(46,64),
(47,64),
(47,63),
(47,62),
(48,62),
(48,61),
(49,61),
(49,60),
(50,60),
(50,59),
(51,59),
(24,84),
